"%s Name","%s名称"
"%s Name is required field.","%s名称是必填的。"
"Active","启用"
"Are you sure?","您确定这样做？"
"Change status","更改状态"
"Default Locale","默认语言环境"
"Default Name","默认名称"
"Default name is required field.","默认名称是必填的。"
"Delete","删除"
"Locale","语言环境"
"Inactive","停用"
"Mass Change Status","批量改变状态"
"Mass Delete","批量删除"
"Parent","上级"
"Parent can't be itself.","上级不能是自己。"
"Please select at least one item to change status.","请至少选择一项进行更改状态."
"Please select at least one item to delete.","请至少选择一项进行删除。"
"Status","状态"
"Save and Continue Edit","保存并继续编辑"
"This %s name can't be the same as its parent's %s name.","%s名称不能与父%s名称相同。"
"This default name can't be the same as its parent's default name.","默认名称不能与父默认名称相同。"
